request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Balance: IDR 100,845,250.00 (min required: IDR 24,768,300.00; headroom: IDR 76,076,950.00). Committed outflows next 30 days: IDR 11,193,727.88. Expected income next 30 days: IDR 15,874,584.26. Decision: Full payment of IDR 15,656,000.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Balance: ZAR 93,141.80 (min required: ZAR 20,500.00; headroom: ZAR 72,641.80). Committed outflows next 30 days: ZAR 29,569.86. Expected income next 30 days: ZAR 22,382.36. Decision: Full payment of ZAR 6,670.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_28,59.84,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Balance: EUR 1,789.40 (min required: EUR 1,100.00; headroom: EUR 689.40). Committed outflows next 30 days: EUR 1,428.43. Expected income next 30 days: EUR 1,989.81. Decision: Cannot safely pay EUR 1,302.40 today (safe amount now: EUR 59.84). Full payment becomes safe on 2024-08-15."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Balance: ZAR 113,540.10 (min required: ZAR 28,300.00; headroom: ZAR 85,240.10). Committed outflows next 30 days: ZAR 36,269.48. Expected income next 30 days: ZAR 46,341.65. Decision: Full payment of ZAR 51,524.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Balance: USD 3,752.72 (min required: USD 900.00; headroom: USD 2,852.72). Committed outflows next 30 days: USD 1,053.78. Expected income next 30 days: USD 935.67. Decision: Full payment is not safe today (safe amount: USD 775.20). Installment plan: 2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74."
request_31,2099554.34,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Balance: IDR 30,429,260.00 (min required: IDR 16,588,900.00; headroom: IDR 13,840,360.00). Committed outflows next 30 days: IDR 19,461,739.72. Expected income next 30 days: IDR 38,494,022.00. Decision: Cannot safely pay IDR 18,164,000.00 today (safe amount now: IDR 2,099,554.34). Full payment becomes safe on 2024-09-15."
request_32,2379.74,not_affordable,not_recommended,none,,none,"Balance: ZAR 69,005.80 (min required: ZAR 35,700.00; headroom: ZAR 33,305.80). Committed outflows next 30 days: ZAR 58,539.80. Expected income next 30 days: ZAR 49,105.47. Salary temporarily reduced to ZAR 54,120.00/month per employer message. Next salary expected on 2025-02-15. Decision: Not affordable. Safe to pay only ZAR 2,379.74 today, and the full ZAR 40,018.00 does not become safe within the 90-day horizon."
request_33,0.0,not_affordable,not_recommended,none,,none,"Balance: INR 167,280.00 (min required: INR 102,100.00; headroom: INR 65,180.00). Committed outflows next 30 days: INR 151,097.93. Expected income next 30 days: INR 134,359.05. Decision: Not affordable. Safe to pay only INR 0.00 today, and the full INR 118,000.00 does not become safe within the 90-day horizon."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Balance: INR 559,752.50 (min required: INR 138,500.00; headroom: INR 421,252.50). Committed outflows next 30 days: INR 146,369.18. Expected income next 30 days: INR 148,953.39. Decision: Full payment of INR 129,400.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_35,25025.23,not_affordable,not_recommended,none,,none,"Balance: INR 231,530.00 (min required: INR 106,400.00; headroom: INR 125,130.00). Committed outflows next 30 days: INR 134,121.25. Expected income next 30 days: INR 160,725.00. Decision: Not affordable. Safe to pay only INR 25,025.23 today, and the full INR 212,000.00 does not become safe within the 90-day horizon."
request_36,645.26,not_affordable,not_recommended,none,,none,"Balance: USD 3,846.60 (min required: USD 2,400.00; headroom: USD 1,446.60). Committed outflows next 30 days: USD 1,744.34. Expected income next 30 days: USD 2,131.89. Next salary expected on 2026-07-15. Decision: Not affordable. Safe to pay only USD 645.26 today, and the full USD 3,954.00 does not become safe within the 90-day horizon."
request_37,1774904.33,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Balance: IDR 29,125,000.00 (min required: IDR 17,056,200.00; headroom: IDR 12,068,800.00). Committed outflows next 30 days: IDR 25,524,163.78. Expected income next 30 days: IDR 30,083,912.34. Decision: Cannot safely pay IDR 14,649,000.00 today (safe amount now: IDR 1,774,904.33). Full payment becomes safe on 2024-05-15."
request_38,86.57,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Balance: EUR 779.40 (min required: EUR 400.00; headroom: EUR 379.40). Committed outflows next 30 days: EUR 410.77. Expected income next 30 days: EUR 725.91. Decision: Cannot safely pay EUR 971.30 today (safe amount now: EUR 86.57). Full payment becomes safe on 2025-10-15.
request_39,0.0,not_affordable,not_recommended,none,,none,"Balance: INR 416,505.00 (min required: INR 213,400.00; headroom: INR 203,105.00). Committed outflows next 30 days: INR 266,511.03. Expected income next 30 days: INR 257,037.84. Decision: Not affordable. Safe to pay only INR 0.00 today, and the full INR 208,600.00 does not become safe within the 90-day horizon."
request_40,0.0,not_affordable,not_recommended,none,,none,"Balance: EUR 2,394.00 (min required: EUR 1,500.00; headroom: EUR 894.00). Committed outflows next 30 days: EUR 1,927.32. Expected income next 30 days: EUR 1,583.98. Salary temporarily reduced to EUR 1,760.00/month per employer message. Next salary expected on 2024-06-15. Decision: Not affordable. Safe to pay only EUR 0.00 today, and the full EUR 1,290.30 does not become safe within the 90-day horizon."
request_41,0.0,not_affordable,not_recommended,none,,none,"Balance: IDR 50,175,850.00 (min required: IDR 25,366,600.00; headroom: IDR 24,809,250.00). Committed outflows next 30 days: IDR 43,015,003.66. Expected income next 30 days: IDR 41,654,289.41. Decision: Not affordable. Safe to pay only IDR 0.00 today, and the full IDR 38,760,000.00 does not become safe within the 90-day horizon."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Balance: INR 261,765.00 (min required: INR 113,100.00; headroom: INR 148,665.00). Committed outflows next 30 days: INR 144,337.42. Expected income next 30 days: INR 283,498.58. Salary temporarily reduced to INR 148,000.00/month per employer message. Decision: Full payment of INR 52,100.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_43,7534601.61,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Balance: IDR 36,640,750.00 (min required: IDR 21,398,000.00; headroom: IDR 15,242,750.00). Committed outflows next 30 days: IDR 22,087,429.65. Expected income next 30 days: IDR 32,870,000.00. Salary temporarily reduced to IDR 32,870,000.00/month per employer message. Next salary expected on 2024-09-15. Decision: Cannot safely pay IDR 43,339,000.00 today (safe amount now: IDR 7,534,601.61). Full payment becomes safe on 2024-11-15."
request_44,0.0,not_affordable,not_recommended,none,,none,"Balance: INR 162,290.00 (min required: INR 82,900.00; headroom: INR 79,390.00). Committed outflows next 30 days: INR 139,764.92. Expected income next 30 days: INR 112,584.03. Salary temporarily reduced to INR 115,000.00/month per employer message. Next salary expected on 2025-02-15. Decision: Not affordable. Safe to pay only INR 0.00 today, and the full INR 95,800.00 does not become safe within the 90-day horizon."
request_45,1593588.88,not_affordable,not_recommended,none,,none,"Balance: IDR 19,982,900.00 (min required: IDR 11,149,800.00; headroom: IDR 8,833,100.00). Committed outflows next 30 days: IDR 12,348,842.42. Expected income next 30 days: IDR 16,552,866.85. Salary temporarily reduced to IDR 17,290,000.00/month per employer message. Next salary expected on 2026-07-15. Decision: Not affordable. Safe to pay only IDR 1,593,588.88 today, and the full IDR 21,983,000.00 does not become safe within the 90-day horizon."
request_46,24257.56,affordable_with_plan,installments,2024-12-04:17472.34|2025-01-04:17472.34|2025-02-04:17472.34,2024-12-15,none,"Balance: INR 202,335.00 (min required: INR 84,000.00; headroom: INR 118,335.00). Committed outflows next 30 days: INR 104,343.42. Expected income next 30 days: INR 284,229.42. Decision: Full payment is not safe today (safe amount: INR 24,257.56). Installment plan: 2024-12-04:17472.34|2025-01-04:17472.34|2025-02-04:17472.34."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Balance: IDR 112,924,150.00 (min required: IDR 30,049,000.00; headroom: IDR 82,875,150.00). Committed outflows next 30 days: IDR 36,579,857.62. Expected income next 30 days: IDR 23,825,018.46. Decision: Full payment of IDR 38,114,000.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_48,0.0,not_affordable,not_recommended,none,,none,"Balance: INR 188,065.00 (min required: INR 71,300.00; headroom: INR 116,765.00). Committed outflows next 30 days: INR 91,024.60. Expected income next 30 days: INR 984.00. Decision: Not affordable. Safe to pay only INR 0.00 today, and the full INR 45,700.00 does not become safe within the 90-day horizon."
request_49,5279768.33,not_affordable,not_recommended,none,,none,"Balance: IDR 40,504,493.34 (min required: IDR 20,275,700.00; headroom: IDR 20,228,793.34). Committed outflows next 30 days: IDR 32,694,632.56. Expected income next 30 days: IDR 31,464,000.00. Decision: Not affordable. Safe to pay only IDR 5,279,768.33 today, and the full IDR 34,333,000.00 does not become safe within the 90-day horizon."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Balance: INR 247,325.50 (min required: INR 99,700.00; headroom: INR 147,625.50). Committed outflows next 30 days: INR 111,058.45. Expected income next 30 days: INR 241,989.28. Salary temporarily reduced to INR 126,000.00/month per employer message. Decision: Full payment of INR 43,900.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Balance: IDR 35,347,700.00 (min required: IDR 7,811,000.00; headroom: IDR 27,536,700.00). Committed outflows next 30 days: IDR 9,358,441.47. Expected income next 30 days: IDR 9,833,874.06. Decision: Full payment of IDR 2,191,000.00 is safe today. Balance remains above minimum throughout the 90-day forecast."
request_52,19067.81,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Balance: INR 75,320.00 (min required: INR 41,500.00; headroom: INR 33,820.00). Committed outflows next 30 days: INR 46,930.56. Expected income next 30 days: INR 66,125.67. Salary temporarily reduced to INR 69,000.00/month per employer message. Next salary expected on 2024-06-15. Decision: Cannot safely pay INR 28,870.00 today (safe amount now: INR 19,067.81). Full payment becomes safe on 2024-06-15."
request_53,336.4,not_affordable,not_recommended,none,,none,"Balance: USD 3,523.42 (min required: USD 2,100.00; headroom: USD 1,423.42). Committed outflows next 30 days: USD 2,804.24. Expected income next 30 days: USD 2,793.00. Decision: Not affordable. Safe to pay only USD 336.40 today, and the full USD 1,699.20 does not become safe within the 90-day horizon."
request_54,1045.55,not_affordable,not_recommended,none,,none,"Balance: ZAR 53,581.40 (min required: ZAR 37,000.00; headroom: ZAR 16,581.40). Committed outflows next 30 days: ZAR 23,122.10. Expected income next 30 days: ZAR 41,445.90. Salary temporarily reduced to ZAR 42,460.00/month per employer message. Next salary expected on 2026-07-15. Decision: Not affordable. Safe to pay only ZAR 1,045.55 today, and the full ZAR 121,528.00 does not become safe within the 90-day horizon."
request_55,76948.58,not_affordable,not_recommended,none,,none,"Balance: INR 314,341.19 (min required: INR 124,300.00; headroom: INR 190,041.19). Committed outflows next 30 days: INR 239,145.28. Expected income next 30 days: INR 216,000.00. Decision: Not affordable. Safe to pay only INR 76,948.58 today, and the full INR 218,600.00 does not become safe within the 90-day horizon."
request_56,282.58,affordable_with_plan,partial_payment,2025-02-03:282.58|2025-02-15:598.98,2025-02-15,none,"Balance: USD 3,432.36 (min required: USD 2,100.00; headroom: USD 1,332.36). Committed outflows next 30 days: USD 1,924.68. Expected income next 30 days: USD 5,561.79. Decision: Pay USD 282.58 today; remaining balance due on 2025-02-15. Plan: 2025-02-03:282.58|2025-02-15:598.98."
request_57,6054.67,not_affordable,not_recommended,none,,none,"Balance: ZAR 63,914.60 (min required: ZAR 42,700.00; headroom: ZAR 21,214.60). Committed outflows next 30 days: ZAR 37,215.19. Expected income next 30 days: ZAR 50,160.00. Decision: Not affordable. Safe to pay only ZAR 6,054.67 today, and the full ZAR 61,446.00 does not become safe within the 90-day horizon."
